,pearson,spearman,kendall,average_correlation,feature,target
0,0.8311419242459909,0.8301149039527738,0.6443895656354464,0.768548797944737,MAX_AVG_LOAD_SHIFT_1,MAX_AVG_LOAD
1,0.73217720890309,0.7353600057963289,0.542530106308684,0.6700224403360343,MAX_AVG_LOAD_SHIFT_2,MAX_AVG_LOAD
2,0.6763350753461606,0.6872840994107052,0.49782172286481824,0.620480299207228,MAX_AVG_LOAD_SHIFT_3,MAX_AVG_LOAD
